Model,MAE,RMSE,PLCC,SRCC
CV Baseline,0.3957902849976863,0.5085525182960937,0.6894180619580618,0.6736018190834724
CNN-only ResNet18,0.29931047558784485,0.3850950196287113,0.836743950843811,0.8009443417926823
Hybrid CNN + CV,0.2883172631263733,0.36491929197285367,0.8565741777420044,0.8155912215431004
